NAME,YEAR,VALUE
Albania,2018,3074655
Albania,2020,1605444
Albania,2023,6007854
Austria,2014,110440776
Austria,2015,113365901
Austria,2016,117957253
Austria,2017,121126543
Austria,2018,125229170
Austria,2019,127890554
Austria,2020,79133399
Austria,2021,66708839
Austria,2022,115062696
Austria,2023,127765910
Belgium,2014,32605681
Belgium,2015,38380415
Belgium,2016,36855214
Belgium,2017,38677308
Belgium,2018,41320284
Belgium,2019,42512847
Belgium,2020,20177486
Belgium,2021,29220847
Belgium,2022,43024124
Belgium,2023,44696602
Bulgaria,2014,21698391
Bulgaria,2015,21397816
Bulgaria,2016,25185996
Bulgaria,2017,26054096
Bulgaria,2018,26845013
Bulgaria,2019,27154791
Bulgaria,2020,11968483
Bulgaria,2021,17620268
Bulgaria,2022,24173291
Bulgaria,2023,26865046
Switzerland,2016,50397026
Switzerland,2017,53283316
Switzerland,2018,55357179
Switzerland,2019,56234630
Switzerland,2021,45884489
Switzerland,2022,55640095
Switzerland,2023,59311203
Cyprus,2014,13715342
Cyprus,2015,13374837
Cyprus,2016,15348884
Cyprus,2017,16780913
Cyprus,2018,17164182
Cyprus,2019,17573684
Cyprus,2020,3725254
Cyprus,2021,9741618
Cyprus,2022,14252434
Cyprus,2023,15636125
Czechia,2014,42946929
Czechia,2015,47093906
Czechia,2016,49696957
Czechia,2017,53219395
Czechia,2018,55513922
Czechia,2019,57024767
Czechia,2020,31382494
Czechia,2021,31924242
Czechia,2022,50599312
Czechia,2023,55842471
Germany,2014,366527398
Germany,2015,378048084
Germany,2016,388851871
Germany,2017,401163218
Germany,2018,419556284
Germany,2019,436954848
Germany,2020,260757872
Germany,2021,266102654
Germany,2022,400409055
Germany,2023,431439035
Denmark,2014,29646899
Denmark,2015,30809340
Denmark,2016,31896255
Denmark,2017,32157794
Denmark,2018,33280395
Denmark,2019,34325625
Denmark,2020,23670530
Denmark,2021,28556054
Denmark,2022,38439848
Denmark,2023,38946106
Estonia,2014,5809464
Estonia,2015,5781870
Estonia,2016,6228128
Estonia,2017,6509299
Estonia,2018,6630315
Estonia,2019,6967047
Estonia,2020,3674012
Estonia,2021,3998997
Estonia,2022,5950873
Estonia,2023,6374862
Greece,2014,100763472
Greece,2015,106064266
Greece,2016,110020042
Greece,2017,119009014
Greece,2018,142940411
Greece,2019,143594467
Greece,2020,38475016
Greece,2021,73886813
Greece,2022,132745904
Greece,2023,147209821
Spain,2014,403963022
Spain,2015,422226376
Spain,2016,454957250
Spain,2017,471199729
Spain,2018,466940717
Spain,2019,469813551
Spain,2020,144677028
Spain,2021,259579759
Spain,2022,451624940
Spain,2023,484987485
Finland,2014,19786022
Finland,2015,19738123
Finland,2016,20343433
Finland,2017,21914154
Finland,2018,22235084
Finland,2019,23095660
Finland,2020,14323661
Finland,2021,17488715
Finland,2022,21971266
Finland,2023,22832061
France,2014,402315167
France,2015,410052887
France,2016,404763426
France,2017,433058728
France,2018,442760050
France,2019,446553868
France,2020,257875315
France,2021,324389046
France,2022,449792261
France,2023,460271796
Croatia,2014,66124991
Croatia,2015,71339000
Croatia,2016,77824114
Croatia,2017,86094847
Croatia,2018,89567653
Croatia,2019,91178083
Croatia,2020,40771344
Croatia,2021,70171684
Croatia,2022,90005383
Croatia,2023,92341148
Hungary,2014,26053873
Hungary,2015,27542898
Hungary,2016,29291168
Hungary,2017,31608719
Hungary,2018,32830120
Hungary,2019,33199961
Hungary,2020,14598682
Hungary,2021,17370771
Hungary,2022,29446040
Hungary,2023,30488308
Ireland,2014,29166382
Ireland,2015,29710054
Ireland,2016,31105668
Ireland,2018,35071345
Ireland,2019,32580794
Ireland,2020,16140254
Ireland,2021,14930451
Ireland,2022,34930828
Ireland,2023,40636150
Iceland,2014,5489883
Iceland,2015,6536277
Iceland,2016,7808327
Iceland,2019,8406451
Iceland,2020,3295557
Iceland,2021,5012414
Iceland,2022,8547184
Iceland,2023,9518591
Italy,2014,377770806
Italy,2015,392874070
Italy,2016,402962113
Italy,2017,420629155
Italy,2018,428844937
Italy,2019,436739271
Italy,2020,208447085
Italy,2021,289178142
Italy,2022,412008532
Italy,2023,447170049
Liechtenstein,2014,132272
Liechtenstein,2015,112484
Liechtenstein,2016,130816
Liechtenstein,2017,150624
Liechtenstein,2018,162161
Liechtenstein,2019,177586
Liechtenstein,2020,127503
Liechtenstein,2021,162386
Liechtenstein,2023,222266
Lithuania,2014,6465004
Lithuania,2015,6581192
Lithuania,2016,6992674
Lithuania,2017,7364924
Lithuania,2018,8091647
Lithuania,2019,8946758
Lithuania,2020,4931757
Lithuania,2021,5542548
Lithuania,2022,8073130
Lithuania,2023,8473828
Luxembourg,2014,2867811
Luxembourg,2015,3202737
Luxembourg,2016,3269221
Luxembourg,2017,2891628
Luxembourg,2018,3173857
Luxembourg,2019,3164756
Luxembourg,2020,1693382
Luxembourg,2021,2223776
Luxembourg,2022,3296351
Luxembourg,2023,3485954
Latvia,2014,4158418
Latvia,2015,4109910
Latvia,2016,4416597
Latvia,2017,4950929
Latvia,2018,5368739
Latvia,2019,5509682
Latvia,2020,2889342
Latvia,2021,2379777
Latvia,2022,3882922
Latvia,2023,4370854
Montenegro,2015,11054947
Montenegro,2016,11250005
Montenegro,2017,3890370
North Macedonia,2014,1519013
North Macedonia,2015,1640003
North Macedonia,2016,1695084
North Macedonia,2017,1975211
North Macedonia,2018,2211589
North Macedonia,2019,2294883
North Macedonia,2020,874339
North Macedonia,2021,1322284
North Macedonia,2022,1818886
North Macedonia,2023,2072926
Malta,2014,8780948
Malta,2015,8915297
Malta,2016,8971191
Malta,2017,9580329
Malta,2018,10114196
Malta,2019,9911282
Malta,2020,2945184
Malta,2021,4612959
Malta,2022,8210424
Malta,2023,9892292
Netherlands,2014,99751562
Netherlands,2015,103534302
Netherlands,2016,106212858
Netherlands,2017,111697814
Netherlands,2018,116081577
Netherlands,2019,123442571
Netherlands,2020,85414861
Netherlands,2021,101094277
Netherlands,2022,132638265
Netherlands,2023,142272461
Norway,2014,30614057
Norway,2015,31591222
Norway,2016,32974578
Norway,2020,23720833
Norway,2021,27092046
Norway,2022,36127194
Norway,2023,37044492
Poland,2014,66579589
Poland,2015,71234421
Poland,2016,79393860
Poland,2017,83880915
Poland,2018,88860463
Poland,2019,93342738
Poland,2020,51377168
Poland,2021,62837520
Poland,2022,89953799
Poland,2023,92797861
Portugal,2014,54979437
Portugal,2015,59419938
Portugal,2016,66014226
Portugal,2017,72035786
Portugal,2018,74407596
Portugal,2019,77594254
Portugal,2020,30157800
Portugal,2021,42444419
Portugal,2022,76947985
Portugal,2023,84886830
Romania,2014,20230245
Romania,2015,23445286
Romania,2016,25274649
Romania,2017,26915573
Romania,2018,28461153
Romania,2019,29889894
Romania,2020,14454464
Romania,2021,22422471
Romania,2022,26614221
Romania,2023,29205568
Serbia,2014,5954322
Serbia,2015,6619439
Serbia,2016,7502498
Serbia,2020,6197394
Serbia,2021,8156155
Serbia,2022,12245613
Serbia,2023,12440935
Sweden,2014,52280371
Sweden,2015,55611847
Sweden,2016,57234148
Sweden,2017,58683201
Sweden,2018,60856874
Sweden,2019,63175281
Sweden,2020,39804561
Sweden,2021,50044620
Sweden,2022,62925559
Sweden,2023,63896119
Slovenia,2014,9470452
Slovenia,2015,10224207
Slovenia,2016,11057731
Slovenia,2017,12460084
Slovenia,2019,15758691
Slovenia,2020,9188303
Slovenia,2021,11231780
Slovenia,2022,15558665
Slovenia,2023,16102802
Slovakia,2014,10781015
Slovakia,2015,12176275
Slovakia,2016,13894782
Slovakia,2017,14667937
Slovakia,2018,15188140
Slovakia,2019,17225333
Slovakia,2020,9437786
Slovakia,2021,7915947
Slovakia,2022,12348809
Slovakia,2023,14359854
Türkiye,2014,130029917
Türkiye,2015,133881306
Türkiye,2016,112545487
Türkiye,2018,190686722
Türkiye,2019,211287063
Türkiye,2020,95323093
Türkiye,2021,176033718
Türkiye,2022,242522164
United Kingdom,2014,443380180
United Kingdom,2015,465438028
United Kingdom,2016,476356101